country,life_expectancy_female,life_expectancy_male,expected_schooling_female,expected_schooling_male,mean_schooling_female,mean_schooling_male,gni_female,gni_male,maternal_mortality_ratio,adolescent_birth_rate,parliament_seat_percentage,secondary_education_percentage_female,secondary_education_percentage_male,labor_force_participation_female,labor_force_participation_male
Barbados,79.4,75.6,17.7,13.8,10.3,9.1,"10,235","14,555",27,42.3,29.4,95.4,86,56.1,63.7
Antigua and Barbuda,80.9,75.8,15.2,13.2,..,..,..,..,42,33.1,31.4,..,..,..,..
Seychelles,75.7,67.7,15.1,12.9,10.2,10.4,..,..,53,53.4,22.9,..,..,..,..
Sri Lanka,79.5,73.1,14.5,13.8,10.8,10.8,"7,005","18,573",36,15.7,5.4,84,84.2,30.9,68.5
Bosnia and Herzegovina,77.5,73.1,14.1,13.5,9.8,11.4,"10,709","19,917",10,9.9,24.6,82.7,94,32.3,52.4
Saint Kitts and Nevis,75.3,68.3,16,14.9,..,..,..,..,..,38.2,25,..,..,..,..
Iran (Islamic Republic of),76.8,71.2,14.7,14.5,10.6,10.7,"3,767","22,041",16,30.2,5.6,71.6,76,14.4,68.1
Ukraine,76.7,66.5,15,14.9,11.5,10.7,"10,370","16,605",19,15.6,20.8,96.2,95.8,48.1,63.6
North Macedonia,76.2,71.7,13.9,13.4,9.7,10.8,"11,147","20,716",7,16.4,41.7,61.9,75.1,42.4,63.4
China,81.2,75.5,14.8,13.7,7.3,7.9,"13,980","20,883",29,11,24.9,78.3,85.4,61.6,74.3
Dominican Republic,76.3,69.3,15.4,13.6,9.6,9,"13,695","22,248",95,65.6,25.7,77.4,76.9,49.6,75.2
Moldova (Republic of),73.5,64.4,14.8,14.1,11.9,11.8,"12,087","17,961",19,27.8,39.6,96.1,98,33.9,43.9
Palau,70.6,62.4,16,15.5,..,..,..,..,..,42.5,6.9,96.9,97.3,..,..
Cuba,76.4,71.2,15.1,13.8,12.6,12.4,"5,103","10,693",36,48.8,53.4,89.5,91.9,40.3,68.5
Peru,74.7,70.1,15.2,15.5,9.3,10.5,"9,813","14,727",88,56.8,40,59.3,69.9,66.1,81.9
Armenia,77.4,66.6,13.8,12.5,11.3,11.3,"8,736","18,558",26,18.5,33.6,96,97.1,42.7,63
Mexico,74.9,66.1,15.2,14.5,9.1,9.4,"12,456","23,600",33,54.4,49.8,65.1,66.7,43.8,75.4
Brazil,76,69.6,16,15.2,8.3,7.9,"10,903","17,960",60,45.2,14.8,62.4,59.1,49.1,68.2
Colombia,76.4,69.4,14.7,14.2,9,8.7,"10,281","18,599",83,59,19.6,58.9,56.5,52.2,78
Saint Vincent and the Grenadines,72.4,67.4,14.9,14.5,10.9,10.7,"8,720","15,075",68,47.9,18.2,44.1,39.6,52.9,74.1
Maldives,81,79.1,14.2,11.9,7.1,7.5,"6,359","22,119",53,7.3,4.6,46.4,41.5,34.3,67.5
Algeria,78,74.9,15.3,14,7.7,8.4,"3,550","17,787",112,11.7,7.5,46,56.9,15.7,64.5
Azerbaijan,73.3,65.6,13.6,13.4,10.2,10.9,"10,536","18,076",26,40.1,18.2,93.6,97.6,60.4,67.3
Tonga,73.7,68.4,16.3,15.7,11.5,11.2,"4,842","8,845",52,19,0,93.5,93.1,37.3,55.3
Turkmenistan,72.7,65.9,13,13.4,10.9,11.6,"9,227","16,884",7,21.8,25,93.5,92.2,36.5,55.6
Ecuador,77.5,70.3,14.9,14.3,8.8,8.8,"7,451","13,180",59,63.2,39.4,53,52,53.3,76.5
Mongolia,75.7,66.5,15.6,14.4,9.9,8.8,"8,541","12,666",45,26.7,17.1,79.3,73,51.5,66.6
Egypt,72.6,67.9,13.8,13.7,9.8,9.4,"3,536","19,741",37,44.8,22.9,81.6,76.6,15.4,67.1
Tunisia,77.1,70.7,16.5,14.5,6.9,8,"4,870","15,778",43,6.7,26.3,42.9,51.8,25.5,67.2
Fiji,68.9,65.4,15,14.5,11,10.8,"5,664","14,270",34,26.8,21.6,90.2,87.9,37.7,75.3
Suriname,73.6,67.2,14.2,11.9,9.9,9.6,"8,866","16,506",120,56.1,29.4,69.9,70.7,43.4,65.1
Uzbekistan,73.4,68.3,12.4,12.6,11.7,12.1,"5,427","10,403",29,15.9,28.7,99.9,100,44.9,70.9
Dominica,76.3,69.7,14.6,12.2,..,..,..,..,..,38.5,34.4,..,..,..,..
Jordan,76.8,72.1,10.8,10.5,10.1,10.8,"3,778","15,631",46,25.4,11.8,77.4,84.2,13.5,62.3
Libya,74.4,69.6,13.1,12.6,8.5,7.2,"9,570","20,960",72,6.9,16,70.5,45.1,34.1,61
Paraguay,73.4,67.4,13.6,12.4,8.9,8.9,"9,410","15,265",84,70.3,16.8,52.5,54,59.6,84.2
